UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100104,HUANUCO,HUANUCO,CHURUBAMBA,220837,Tinyahuarco,TINYAHUARCO,0,0,,1001040068,,1001040068,IGN,2056,-76.15533102000,-9.82360090000,-9.82360089999997-76.1553310199999
020202,ANCASH,AIJA,CORIS,551154,Hurasequia,HURASEQUIA,0,0,,0202020057,,0202020057,IGN,2611,-77.72462415000,-9.82330903000,-9.82330902999996-77.72462415
101106,HUANUCO,YAROWILCA,OBAS,649902,Mantaucro,MANTAUCRO,0,0,,1011060065,,1011060065,INEI,3691,-76.68343166700,-9.82631666700,-9.82631666699996-76.683431667
020205,ANCASH,AIJA,SUCCHA,218019,Llanqui,LLANQUI,0,0,,,,,IGN,2408,-77.69404302000,-9.82301002000,-9.82301001999997-77.69404302
101101,HUANUCO,YAROWILCA,CHAVINILLO,228655,Cachichacuna Pampa,CACHICHACUNA PAMPA,0,0,,,,,IGN,3959,-76.50881415000,-9.82269753000,-9.82269752999997-76.50881415
100104,HUANUCO,HUANUCO,CHURUBAMBA,530016,Huaycoto,HUAYCOTO,0,0,,1001040067,,1001040067,IGN,2008,-76.13487502000,-9.82263465000,-9.82263464999994-76.13487502
100802,HUANUCO,PACHITEA,CHAGLLA,522777,Palma Monte,PALMA MONTE,0,0,,1008020033,,1008020033,IGN,3202,-75.87641863000,-9.83720565000,-9.83720564999993-75.87641863
020201,ANCASH,AIJA,AIJA,241053,Atoc Sheco,ATOC SHECO,0,0,,,,,IGN,4163,-77.54540353000,-9.83715452000,-9.83715451999996-77.54540353
020508,ANCASH,BOLOGNESI,HUALLANCA,246597,Cochayoc,COCHAYOC,0,0,,0205080094,,0205080094,IGN,3853,-76.90159127000,-9.83679340000,-9.83679339999998-76.90159127
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,511520,Cuyao,CUYAO,0,0,,1001090042,,1001090042,IGN,2127,-76.24780765000,-9.83658802000,-9.83658801999997-76.24780765
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,516295,Lucma,LUCMA,0,0,,0207010058,,0207010058,IGN,2754,-77.36010365000,-9.07679440000,-9.07679439999993-77.36010365
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,246608,Retama,RETAMA,0,0,,,,,IGN,2856,-77.35173990000,-9.07653503000,-9.07653502999995-77.3517399
022008,ANCASH,YUNGAY,YANAMA,229973,Mina Cajavilca,MINA CAJAVILCA,0,0,,,,,IGN,4305,-77.46189290000,-9.07645228000,-9.07645227999996-77.4618929
100609,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,242277,Pueblo Nuevo,PUEBLO NUEVO,3,1,GIPS,1006090001,,1006040057,MED-GPS,591,-76.06332123000,-9.07815774000,-9.07815773999994-76.06332123
100804,HUANUCO,PACHITEA,UMARI,212789,Ushac Punta,USHAC PUNTA,0,0,,,,,IGN,2634,-76.05805265000,-9.84713802000,-9.84713801999993-76.05805265
101106,HUANUCO,YAROWILCA,OBAS,617721,Tumanhuari,TUMANHUARI,0,1,GP,1011060083,,1011060083,MED-GPS,3806,-76.69025623000,-9.84713541000,-9.84713540999996-76.69025623
